title,url,publishedAt
"The DNC handed the mic over to women, but why did they shun the Squad? | Arwa Mahdawi",https://www.theguardian.com/commentisfree/2020/aug/22/dnc-democrats-squad-progressives-week-in-patriarchy,2020-08-22T13:00:27Z
What did Prince listen to in the car? This Instagram account may tell you,https://www.theguardian.com/lifeandstyle/2020/oct/08/overheardcelebs-instagram-account-prince-miley-cyrus,2020-10-08T08:00:31Z
Think Like a Dog review – Feds bark as pet wisdom melts into syrup,https://www.theguardian.com/film/2020/jul/02/think-like-a-dog-review-gabriel-bateman,2020-07-02T08:00:47Z
How did the Covid crisis affect your finances in 2020?,https://www.theguardian.com/money/2020/dec/19/covid-crisis-finances-2020,2020-12-19T07:00:43Z
The most exciting movies of 2020 – biopics,https://www.theguardian.com/film/2020/jan/02/the-most-exciting-movies-of-2020-biopics,2020-01-02T16:02:31Z
What is WeChat and why is Trump targeting it?,https://www.theguardian.com/technology/2020/aug/07/what-is-wechat-and-why-is-trump-targeting-it,2020-08-07T07:23:02Z
Tom Cruise space-set film moves closer to reality after adding director,https://www.theguardian.com/film/2020/may/27/tom-cruise-space-film-doug-liman-director-nasa-elon-musk,2020-05-27T10:53:29Z
Elon Musk's new EDM single reviewed – 'Bringing erectile dysfunction to the masses!',https://www.theguardian.com/music/2020/jan/31/elon-musk-edm-artist-first-track-dont-doubt-ur-vibe,2020-01-31T13:04:23Z
First Thing: Surge in new infections in Republican heartlands,https://www.theguardian.com/us-news/2020/may/13/first-thing-surge-in-new-covid-19-infections-in-republican-heartlands,2020-05-13T11:16:24Z
Wednesday briefing: last orders in fight to avoid lockdown,https://www.theguardian.com/world/2020/sep/23/wednesday-briefing-last-orders-in-fight-to-avoid-lockdown,2020-09-23T05:27:21Z
Gold trade body urged to suspend refinery over alleged abuses in Tanzania,https://www.theguardian.com/business/2020/jul/13/gold-trade-body-urged-to-suspend-refinery-over-alleged-abuses-in-tanzania,2020-07-13T12:41:59Z
Wealth of US billionaires rises by nearly a third during pandemic,https://www.theguardian.com/business/2020/sep/17/wealth-of-us-billionaires-rises-by-nearly-a-third-during-pandemic,2020-09-17T17:19:09Z
Trump pardons a cast of controversial characters | First Thing,https://www.theguardian.com/us-news/2020/dec/23/first-thing-trump-pardons-cast-controversial-characters,2020-12-23T10:54:12Z
Sainsbury’s departing singing executive will have hoped for better,https://www.theguardian.com/business/nils-pratley-on-finance/2020/jan/22/sainsburys-mike-coupe-executive,2020-01-22T19:21:08Z
Hybrid BMW can now auto-swap to battery power in London and Birmingham,https://www.theguardian.com/business/2020/aug/07/hybrid-bmw-can-now-auto-swap-to-battery-power-in-london-and-birmingham,2020-08-06T23:01:21Z
Man with ties to 'boogaloo' movement charged with threatening health officer over pandemic,https://www.theguardian.com/us-news/2020/sep/01/boogaloo-movement-man-charged-threatening-health-officer,2020-09-02T00:37:41Z
Elon Musk and Grimes change baby's name: 'Roman numerals look better',https://www.theguardian.com/technology/2020/may/25/elon-musk-grimes-change-baby-name-roman-numerals-look-better,2020-05-25T13:29:40Z
Battery firm chooses Welsh site for Britain's first gigafactory,https://www.theguardian.com/uk-news/2020/jul/17/battery-firm-chooses-welsh-site-for-britains-first-gigafactory,2020-07-17T05:45:06Z
'The countryside is where the radical changes are': Rem Koolhaas goes rural,https://www.theguardian.com/artanddesign/2020/feb/11/rem-koolhaas-rural-countryside-the-future-guggenheim,2020-02-11T16:10:25Z
American firms aren't beholden to America – but that's news to Trump | Robert Reich,https://www.theguardian.com/commentisfree/2020/jan/11/us-china-trump-agreement-tesla-investment,2020-01-11T08:01:00Z
UK regions compete to host  'gigafactory' for electric car batteries,https://www.theguardian.com/uk-news/2020/nov/15/uk-regions-compete-to-be-site-of-gigafactory-for-electric-vehicles,2020-11-15T17:29:57Z
"If the UK doesn’t act now, the car industry will vanish | Phillip Inman",https://www.theguardian.com/business/2020/jan/18/if-the-uk-doesnt-act-now-the-car-industry-will-vanish,2020-01-18T17:00:33Z
Human rights activist 'forced to flee DRC' over child cobalt mining lawsuit,https://www.theguardian.com/global-development/2020/mar/10/human-rights-activist-forced-to-flee-drc-over-child-cobalt-mining-lawsuit,2020-03-10T07:00:26Z
"Coronavirus drives surge in support for unionisation, say games industry activists",https://www.theguardian.com/games/2020/sep/25/coronavirus-drives-surge-in-support-for-unionisation-say-games-industry-activists,2020-09-25T12:30:46Z
Stock markets fall as investors sell off tech stock amid US job fears,https://www.theguardian.com/business/2020/sep/03/stock-markets-tumble-as-investors-sell-off-tech-stock-amid-us-job-fears-coronavirus,2020-09-03T18:45:19Z
"Anohni on her new track R.N.C. 2020: 'It's me, screaming in the past, for the present'",https://www.theguardian.com/music/2020/sep/03/anohni-on-her-new-track-rnc-2020-its-me-screaming-in-the-past-for-the-present,2020-09-03T14:02:44Z
AGL bets on electric vehicles subscription service to boost Australia's uptake,https://www.theguardian.com/australia-news/2020/sep/09/agl-bets-on-electric-vehicles-subscription-service-to-boost-australias-uptake,2020-09-08T21:32:54Z
UK car sales plunge to lowest since 1946 amid coronavirus lockdown,https://www.theguardian.com/business/2020/may/05/uk-car-sales-coronavirus-lockdown-electric-car,2020-05-05T09:59:30Z
The tech execs who don't agree with 'soul-stealing' coronavirus safety measures,https://www.theguardian.com/technology/2020/mar/18/tech-execs-who-dont-agree-coronavirus-measures,2020-03-18T17:02:21Z
Why Boris Johnson's tech vision lacks the support of investors,https://www.theguardian.com/business/nils-pratley-on-finance/2020/sep/10/why-boris-johnson-tech-vision-lacks-the-support-of-investors,2020-09-10T05:00:34Z
Corrections and clarifications,https://www.theguardian.com/news/2020/jan/31/corrections-and-clarifications,2020-01-31T21:00:00Z
